sales,employees,age,training,exporter,financing,competition,labor_cost,labor_prod,successful
22400000,47,6.0,0.0,0,0.0,0,40800.0,476595.74468085106,0
38000000,42,5.0,0.0,1,0.0,0,21000.0,904761.9047619047,0
136000000,102,10.0,0.0,1,0.0,1,101000.0,1333333.3333333333,1
112100000,68,15.0,0.0,0,0.0,0,594800.0,1648529.4117647058,1
30000000,18,5.0,0.0,1,0.0,0,20000.0,1666666.6666666667,0
92000000,250,10.0,1.0,0,0.0,0,60000.0,368000.0,1
10000000,14,15.0,0.0,1,0.0,1,31000.0,714285.7142857143,0
12000000,20,5.0,1.0,1,0.0,1,17000.0,600000.0,0
114300000,68,13.0,0.0,0,0.0,1,120000.0,1680882.3529411764,1
23000000,30,15.0,1.0,1,0.0,0,48002.0,766666.6666666666,0
45044000,62,10.0,0.0,0,0.0,0,24000.0,726516.1290322581,0
31000000,28,6.0,0.0,1,0.0,0,30000.0,1107142.857142857,0
12000000,14,8.0,1.0,1,0.0,1,26500.0,857142.8571428572,0
15000000,24,5.0,0.0,1,0.0,0,8000.0,625000.0,0
106000000,260,7.0,1.0,0,0.0,0,316000.0,407692.3076923077,1
64400000,105,17.0,0.0,0,0.0,1,180000.0,613333.3333333334,0
43000000,80,5.0,0.0,0,0.0,1,86456.0,537500.0,0
244000000,262,10.0,1.0,0,1.0,0,625000.0,931297.7099236641,1
11100000,12,6.0,0.0,1,0.0,0,10200.0,925000.0,0
15000000,15,12.0,0.0,1,0.0,0,15000.0,1000000.0,0
142000000,125,3.0,1.0,1,0.0,1,212000.0,1136000.0,1
37900000,35,10.0,0.0,1,0.0,1,386400.0,1082857.142857143,0
123000000,257,15.0,0.0,0,1.0,0,840000.0,478599.2217898833,1
15572000,50,10.0,0.0,0,0.0,0,88000.0,311440.0,0
57700000,105,10.0,0.0,0,0.0,1,240000.0,549523.8095238095,0
8000000,10,20.0,0.0,1,0.0,0,32000.0,800000.0,0
1222708,5,12.0,0.0,1,0.0,0,9000.0,244541.6,0
208000000,180,14.0,0.0,0,0.0,1,1600000.0,1155555.5555555555,1
27000000,24,11.0,0.0,1,0.0,1,81600.0,1125000.0,0
27686400,50,4.0,1.0,0,0.0,0,16800.0,553728.0,0
2685600,12,6.0,1.0,0,0.0,0,20400.0,223800.0,0
6535000,8,30.0,0.0,1,0.0,0,8000.0,816875.0,0
47270000,102,5.0,0.0,0,0.0,0,40000.0,463431.3725490196,0
161200000,150,15.0,0.0,0,0.0,0,360000.0,1074666.6666666667,1
84600000,221,7.0,0.0,0,0.0,0,448000.0,382805.4298642534,0
72200000,142,16.0,0.0,0,0.0,1,156000.0,508450.7042253521,0
38150000,50,9.0,0.0,0,0.0,0,74000.0,763000.0,0
123705920,146,15.0,1.0,0,1.0,1,194400.0,847300.8219178083,1
140000000,102,15.0,0.0,0,0.0,0,217000.0,1372549.0196078431,1
69000000,174,4.0,0.0,0,1.0,0,352000.0,396551.724137931,0
2500000,6,30.0,1.0,1,0.0,1,12000.0,416666.6666666667,0
125000000,255,10.0,1.0,0,0.0,0,115000.0,490196.07843137253,1
99000000,252,5.0,0.0,0,0.0,0,840000.0,392857.14285714284,1
90000000,250,5.0,0.0,1,0.0,1,610000.0,360000.0,1
23000000,18,10.0,0.0,1,0.0,1,46000.0,1277777.7777777778,0
26000000,24,10.0,0.0,1,0.0,1,68000.0,1083333.3333333333,0
121000000,28,5.0,1.0,0,0.0,1,24000.0,4321428.571428572,1
12000000,8,5.0,0.0,1,0.0,0,15200.0,1500000.0,0
2128650,8,4.0,0.0,1,0.0,1,36000.0,266081.25,0
8000000,10,43.0,1.0,0,0.0,0,6500.0,800000.0,0
18000000,14,2.0,0.0,1,0.0,0,12000.0,1285714.2857142857,0
19000000,25,10.0,0.0,0,0.0,1,15000.0,760000.0,0
314900000,273,12.0,0.0,0,1.0,1,1708000.0,1153479.8534798534,1
2507700,14,12.0,0.0,1,0.0,1,5600.0,179121.42857142858,0
71300000,105,8.0,0.0,0,0.0,1,102000.0,679047.619047619,0
13000000,7,2.0,0.0,1,0.0,0,56500.0,1857142.857142857,0
8489600,10,12.0,0.0,0,0.0,0,33600.0,848960.0,0
